Size,Scalar_Time,Matrix_Time
500,9.6e-6,0.0001416
1000,1.08e-5,0.0010193
1500,9.3e-6,0.0010301
2000,8.8e-6,0.0058924
2500,1.09e-5,0.0014957
3000,3.8e-5,0.0022205
3500,1.01e-5,0.0029204
4000,1.12e-5,0.0042555
4500,1.12e-5,0.0062133
5000,1.54e-5,0.0077067
5500,1.13e-5,0.009282
6000,1.36e-5,0.0099891
6500,1.58e-5,0.013241
7000,1.24e-5,0.0121592
7500,1.28e-5,0.0119731
8000,1.28e-5,0.0137028
8500,1.41e-5,0.016216
9000,1.58e-5,0.0161672
9500,2.21e-5,0.0210344
10000,1.97e-5,0.0224396
10500,0.0002712,0.0230547
11000,0.0001867,0.0271578
11500,0.0001576,0.0296549
12000,7.35e-5,0.0320699
12500,0.0003074,0.0358218
13000,0.0002245,0.0368181
13500,9.79e-5,0.0436121
14000,0.000199,0.039657
14500,0.0003523,0.0414714
15000,0.0003923,0.0496192
15500,0.0003936,0.0482054
16000,0.0001365,0.0551324
16500,0.0003316,0.0540826
17000,0.0002304,0.0610843
17500,0.0003302,0.0679202
18000,8.56e-5,0.0693729
18500,7.94e-5,0.0724671
19000,0.0001443,0.0760268
19500,0.0002063,0.0848241
20000,0.0001821,0.0823822
500,4.4e-6,0.000159
1000,2.9e-6,0.0002948
1500,2.13e-5,0.001035
2000,8.0e-6,0.0008788
2500,8.1e-6,0.0011195
3000,1.0e-5,0.0026756
3500,1.0e-5,0.0047444
4000,1.07e-5,0.0043221
4500,1.05e-5,0.0046621
5000,1.09e-5,0.0055179
5500,1.25e-5,0.0062919
6000,1.36e-5,0.0088062
6500,1.24e-5,0.0076647
7000,1.36e-5,0.0116467
7500,1.45e-5,0.0132011
8000,1.51e-5,0.0173977
8500,1.9e-5,0.0164495
9000,1.41e-5,0.0180937
9500,1.4e-5,0.0217693
10000,1.68e-5,0.0238934
10500,0.0001506,0.0242468
11000,0.0002981,0.0269751
11500,0.0001043,0.0300121
12000,0.0001369,0.0334594
12500,0.0001303,0.0360615
13000,0.0002377,0.0367289
13500,0.0003463,0.0401751
14000,0.0001481,0.0437858
14500,0.0001408,0.043036
15000,0.0001495,0.0464447
15500,7.26e-5,0.0507069
16000,7.77e-5,0.0537993
16500,0.000226,0.0551364
17000,0.0001965,0.0611591
17500,0.0002532,0.0659425
18000,0.0002952,0.0669699
18500,7.45e-5,0.0758109
19000,0.0002662,0.0766925
19500,0.0003439,0.080509
20000,0.0003705,0.0801981
500,4.8e-6,0.000305
1000,5.4e-6,0.0003604
1500,5.6e-6,0.0005621
2000,5.9e-6,0.0007047
