type,size,time
naive_multiplication,150,0.0085342
better_multiplication,150,0.0080694
BLAS_multiplication,150,0.0002467
naive_multiplication,300,0.0687274
better_multiplication,300,0.0213295
BLAS_multiplication,300,0.0009639
naive_multiplication,450,0.2199504
better_multiplication,450,0.1845599
BLAS_multiplication,450,0.0015267
naive_multiplication,600,0.5246041
better_multiplication,600,0.3077773
BLAS_multiplication,600,0.004577
naive_multiplication,750,1.0530672
better_multiplication,750,0.5912444
BLAS_multiplication,750,0.0052258
naive_multiplication,900,1.8608517
better_multiplication,900,1.3582415
BLAS_multiplication,900,0.0084229
naive_multiplication,1050,3.0668558
better_multiplication,1050,2.0834723
BLAS_multiplication,1050,0.0211402
naive_multiplication,1200,4.3747691
better_multiplication,1200,2.8637191
BLAS_multiplication,1200,0.027702
naive_multiplication,1350,6.1665941
better_multiplication,1350,4.2076069
BLAS_multiplication,1350,0.0279995
naive_multiplication,1500,8.5005493
better_multiplication,1500,5.4380187
BLAS_multiplication,1500,0.0573893
naive_multiplication,150,0.0070532
better_multiplication,150,0.0021523
BLAS_multiplication,150,0.0002928
naive_multiplication,300,0.0592455
better_multiplication,300,0.0569408
BLAS_multiplication,300,0.000906
naive_multiplication,450,0.2108265
better_multiplication,450,0.1953948
BLAS_multiplication,450,0.002596
naive_multiplication,600,0.511614
better_multiplication,600,0.4959665
BLAS_multiplication,600,0.004899
naive_multiplication,750,1.0250503
better_multiplication,750,0.5595846
BLAS_multiplication,750,0.0087099
naive_multiplication,900,1.8261153
better_multiplication,900,1.3645238
BLAS_multiplication,900,0.0225972
naive_multiplication,1050,2.9551564
better_multiplication,1050,2.2680402
BLAS_multiplication,1050,0.0211302
naive_multiplication,1200,4.6390262
better_multiplication,1200,3.451011
BLAS_multiplication,1200,0.0320182
naive_multiplication,1350,6.4116461
better_multiplication,1350,4.7379935
BLAS_multiplication,1350,0.03674
naive_multiplication,1500,9.0067068
better_multiplication,1500,6.5899908
BLAS_multiplication,1500,0.0549303
naive_multiplication,150,0.0072243
better_multiplication,150,0.0068348
BLAS_multiplication,150,0.00037
naive_multiplication,300,0.061899
better_multiplication,300,0.0221495
BLAS_multiplication,300,0.0008959
naive_multiplication,450,0.2120585
better_multiplication,450,0.1994342
BLAS_multiplication,450,0.0016458
naive_multiplication,600,0.5213905
better_multiplication,600,0.2524894
BLAS_multiplication,600,0.0028934
naive_multiplication,750,1.0441524
better_multiplication,750,0.6276399
BLAS_multiplication,750,0.0083535
naive_multiplication,900,1.8515626
better_multiplication,900,1.1801624
BLAS_multiplication,900,0.0108243
naive_multiplication,1050,2.9564989
better_multiplication,1050,2.3077101
BLAS_multiplication,1050,0.0217592
naive_multiplication,1200,4.5082084
better_multiplication,1200,2.9832089
BLAS_multiplication,1200,0.020358
naive_multiplication,1350,6.2658117
better_multiplication,1350,4.5892798
BLAS_multiplication,1350,0.0417236
naive_multiplication,1500,8.730485
better_multiplication,1500,5.5332573
BLAS_multiplication,1500,0.06194
naive_multiplication,150,0.0070965
better_multiplication,150,0.0069655
BLAS_multiplication,150,0.0002244
naive_multiplication,300,0.0592573
better_multiplication,300,0.0556278
BLAS_multiplication,300,0.0007833
naive_multiplication,450,0.2076899
better_multiplication,450,0.0598426
BLAS_multiplication,450,0.0017142
naive_multiplication,600,0.4972437
better_multiplication,600,0.2307272
BLAS_multiplication,600,0.0056219
naive_multiplication,750,1.0098414
better_multiplication,750,0.4976964
BLAS_multiplication,750,0.0088747
naive_multiplication,900,1.7846419
better_multiplication,900,1.3841435
BLAS_multiplication,900,0.0146861
naive_multiplication,1050,2.8512391
better_multiplication,1050,2.1396731
BLAS_multiplication,1050,0.0308583
naive_multiplication,1200,4.2969068
better_multiplication,1200,2.9863587
BLAS_multiplication,1200,0.0192235
naive_multiplication,1350,6.0591232
better_multiplication,1350,4.3321622
BLAS_multiplication,1350,0.0460646
naive_multiplication,1500,8.3964828
better_multiplication,1500,5.6569891
BLAS_multiplication,1500,0.0353925
naive_multiplication,150,0.0077477
better_multiplication,150,0.0068799
BLAS_multiplication,150,0.0004515
naive_multiplication,300,0.0582664
better_multiplication,300,0.0560611
BLAS_multiplication,300,0.0010141
naive_multiplication,450,0.2051157
better_multiplication,450,0.1944019
BLAS_multiplication,450,0.0021511
naive_multiplication,600,0.5136541
better_multiplication,600,0.4727714
BLAS_multiplication,600,0.0051934
naive_multiplication,750,1.0129101
better_multiplication,750,0.7641492
BLAS_multiplication,750,0.0090247
naive_multiplication,900,1.8822497
better_multiplication,900,1.3757249
BLAS_multiplication,900,0.0109443
naive_multiplication,1050,2.9010002
better_multiplication,1050,2.0553398
BLAS_multiplication,1050,0.0195013
naive_multiplication,1200,4.5123908
better_multiplication,1200,2.8356729
BLAS_multiplication,1200,0.0279727
naive_multiplication,1350,6.1560068
better_multiplication,1350,4.0154934
BLAS_multiplication,1350,0.0497031
naive_multiplication,1500,8.4590996
better_multiplication,1500,4.9932533
BLAS_multiplication,1500,0.0434069
naive_multiplication,150,0.0071246
better_multiplication,150,0.0021464
BLAS_multiplication,150,0.0004597
naive_multiplication,300,0.0579292
better_multiplication,300,0.0493749
BLAS_multiplication,300,0.0006827
naive_multiplication,450,0.2089313
better_multiplication,450,0.1947955
BLAS_multiplication,450,0.0021087
naive_multiplication,600,0.4970549
better_multiplication,600,0.175941
BLAS_multiplication,600,0.0036926
naive_multiplication,750,1.0076781
better_multiplication,750,0.891903
BLAS_multiplication,750,0.0088219
naive_multiplication,900,1.8276626
better_multiplication,900,1.2077682
BLAS_multiplication,900,0.0138547
naive_multiplication,1050,2.8947614
better_multiplication,1050,1.526421
BLAS_multiplication,1050,0.022132
naive_multiplication,1200,4.3264185
better_multiplication,1200,2.6023531
BLAS_multiplication,1200,0.0313397
naive_multiplication,1350,6.1458558
better_multiplication,1350,4.9588972
BLAS_multiplication,1350,0.0375045
naive_multiplication,1500,8.5158668
better_multiplication,1500,5.8541529
BLAS_multiplication,1500,0.0525484
naive_multiplication,150,0.0067576
better_multiplication,150,0.0025524
BLAS_multiplication,150,0.0003337
naive_multiplication,300,0.0609528
better_multiplication,300,0.0568848
BLAS_multiplication,300,0.0007904
naive_multiplication,450,0.2068986
better_multiplication,450,0.0930406
BLAS_multiplication,450,0.0022383
naive_multiplication,600,0.5058452
better_multiplication,600,0.4268112
BLAS_multiplication,600,0.0057489
naive_multiplication,750,1.0116436
better_multiplication,750,0.6413776
BLAS_multiplication,750,0.0063359
naive_multiplication,900,1.8085354
better_multiplication,900,1.5584761
BLAS_multiplication,900,0.0133147
naive_multiplication,1050,2.9000937
better_multiplication,1050,2.5908526
BLAS_multiplication,1050,0.0226043
naive_multiplication,1200,4.2885715
better_multiplication,1200,2.532898
BLAS_multiplication,1200,0.0238601
naive_multiplication,1350,6.214927
better_multiplication,1350,4.0362909
BLAS_multiplication,1350,0.051361
naive_multiplication,1500,8.7245194
better_multiplication,1500,6.2778085
BLAS_multiplication,1500,0.0558091
naive_multiplication,150,0.0070737
better_multiplication,150,0.0072962
BLAS_multiplication,150,0.0003103
naive_multiplication,300,0.0613754
better_multiplication,300,0.0589307
BLAS_multiplication,300,0.0008657
naive_multiplication,450,0.2178803
better_multiplication,450,0.2020435
BLAS_multiplication,450,0.0020362
naive_multiplication,600,0.5430237
better_multiplication,600,0.3981637
BLAS_multiplication,600,0.0047232
naive_multiplication,750,1.0717622
better_multiplication,750,0.5992508
BLAS_multiplication,750,0.0090062
naive_multiplication,900,1.9438514
better_multiplication,900,1.4210554
BLAS_multiplication,900,0.0138358
naive_multiplication,1050,3.0157368
better_multiplication,1050,2.3206803
BLAS_multiplication,1050,0.0219394
naive_multiplication,1200,4.5869386
better_multiplication,1200,3.4133963
BLAS_multiplication,1200,0.0244887
naive_multiplication,1350,6.3660152
better_multiplication,1350,4.7481
BLAS_multiplication,1350,0.0506574
naive_multiplication,1500,8.7228704
better_multiplication,1500,6.475169
BLAS_multiplication,1500,0.0561506
naive_multiplication,150,0.0069425
better_multiplication,150,0.007342
BLAS_multiplication,150,0.0003283
naive_multiplication,300,0.0603644
better_multiplication,300,0.0585854
BLAS_multiplication,300,0.0008417
naive_multiplication,450,0.2192413
better_multiplication,450,0.0904889
BLAS_multiplication,450,0.0023738
naive_multiplication,600,0.5351907
better_multiplication,600,0.4626272
BLAS_multiplication,600,0.0047344
naive_multiplication,750,1.064324
better_multiplication,750,0.7532143
BLAS_multiplication,750,0.0090286
naive_multiplication,900,1.8734016
better_multiplication,900,1.4842432
BLAS_multiplication,900,0.0138368
naive_multiplication,1050,2.9008074
better_multiplication,1050,1.8122401
BLAS_multiplication,1050,0.0219624
naive_multiplication,1200,4.2949242
better_multiplication,1200,3.3467223
BLAS_multiplication,1200,0.0324951
naive_multiplication,1350,6.1306572
better_multiplication,1350,4.5074231
BLAS_multiplication,1350,0.0417741
naive_multiplication,1500,8.5893031
better_multiplication,1500,5.0286118
BLAS_multiplication,1500,0.0501914
naive_multiplication,150,0.0071008
better_multiplication,150,0.0021357
BLAS_multiplication,150,0.0004457
naive_multiplication,300,0.0601415
better_multiplication,300,0.060718
BLAS_multiplication,300,0.0007133
naive_multiplication,450,0.2072258
better_multiplication,450,0.1789267
BLAS_multiplication,450,0.0023306
naive_multiplication,600,0.5051489
better_multiplication,600,0.4485622
BLAS_multiplication,600,0.0047147
naive_multiplication,750,1.0156275
better_multiplication,750,0.4738732
BLAS_multiplication,750,0.0087561
naive_multiplication,900,1.8237734
better_multiplication,900,1.3664641
BLAS_multiplication,900,0.014586
naive_multiplication,1050,3.0081858
better_multiplication,1050,2.2402001
BLAS_multiplication,1050,0.0193263
naive_multiplication,1200,4.3766733
better_multiplication,1200,2.3301213
BLAS_multiplication,1200,0.0295328
naive_multiplication,1350,6.1175522
better_multiplication,1350,4.2197158
BLAS_multiplication,1350,0.0487915
naive_multiplication,1500,8.5631352
better_multiplication,1500,5.4899376
BLAS_multiplication,1500,0.0571219
